"id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue","umpire1","umpire2","umpire3"
63,2008,"Mumbai","2008-04-20","Mumbai Indians","Royal Challengers Bangalore","Mumbai Indians","bat","normal","00","Royal Challengers Bangalore",0,5,"MV Boucher","Wankhede Stadium","SJ Davis","DJ Harper",""
64,2008,"Kolkata","2008-04-20","Deccan Chargers","Kolkata Knight Riders","Deccan Chargers","bat","normal","00","Kolkata Knight Riders",0,5,"DJ Hussey","Eden Gardens","BF Bowden","K Hariharan",""
65,2008,"Jaipur","2008-04-21","Kings XI Punjab","Rajasthan Royals","Kings XI Punjab","bat","normal","00","Rajasthan Royals",0,6,"SR Watson","Sawai Mansingh Stadium","Aleem Dar","RB Tiffin",""
66,2008,"Hyderabad","2008-04-22","Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","normal","00","Delhi Daredevils",0,9,"V Sehwag","Rajiv Gandhi International Stadium, Uppal","IL Howell","AM Saheba",""
67,2008,"Chennai","2008-04-23","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","normal","00","Chennai Super Kings",6,0,"ML Hayden","MA Chidambaram Stadium, Chepauk","DJ Harper","GA Pratapkumar",""
68,2008,"Hyderabad","2008-04-24","Deccan Chargers","Rajasthan Royals","Rajasthan Royals","field","normal","00","Rajasthan Royals",0,3,"YK Pathan","Rajiv Gandhi International Stadium, Uppal","Asad Rauf","MR Benson",""
69,2008,"Chandigarh","2008-04-25","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal","00","Kings XI Punjab",66,0,"KC Sangakkara","Punjab Cricket Association Stadium, Mohali","Aleem Dar","AM Saheba",""
70,2008,"Bangalore","2008-04-26","Royal Challengers Bangalore","Rajasthan Royals","Rajasthan Royals","field","normal","00","Rajasthan Royals",0,7,"SR Watson","M Chinnaswamy Stadium","MR Benson","IL Howell",""
71,2008,"Chennai","2008-04-26","Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","bat","normal","00","Chennai Super Kings",0,9,"JDP Oram","MA Chidambaram Stadium, Chepauk","BF Bowden","AV Jayaprakash",""
72,2008,"Mumbai","2008-04-27","Mumbai Indians","Deccan Chargers","Deccan Chargers","field","normal","00","Deccan Chargers",0,10,"AC Gilchrist","Dr DY Patil Sports Academy","Asad Rauf","SL Shastri",""
73,2008,"Chandigarh","2008-04-27","Delhi Daredevils","Kings XI Punjab","Delhi Daredevils","bat","normal","00","Kings XI Punjab",0,4,"SM Katich","Punjab Cricket Association Stadium, Mohali","RE Koertzen","I Shivram",""
74,2008,"Bangalore","2008-04-28","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","normal","00","Chennai Super Kings",13,0,"MS Dhoni","M Chinnaswamy Stadium","BR Doctrove","RB Tiffin",""
75,2008,"Kolkata","2008-04-29","Kolkata Knight Riders","Mumbai Indians","Kolkata Knight Riders","bat","normal","00","Mumbai Indians",0,7,"ST Jayasuriya","Eden Gardens","BF Bowden","AV Jayaprakash",""
76,2008,"Delhi","2008-04-30","Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal","00","Delhi Daredevils",10,0,"GD McGrath","Feroz Shah Kotla","Aleem Dar","I Shivram",""
77,2008,"Hyderabad","2008-05-01","Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","normal","00","Kings XI Punjab",0,7,"SE Marsh","Rajiv Gandhi International Stadium, Uppal","BR Doctrove","RB Tiffin",""
78,2008,"Jaipur","2008-05-01","Rajasthan Royals","Kolkata Knight Riders","Rajasthan Royals","bat","normal","00","Rajasthan Royals",45,0,"SA Asnodkar","Sawai Mansingh Stadium","RE Koertzen","GA Pratapkumar",""
79,2008,"Chennai","2008-05-02","Chennai Super Kings","Delhi Daredevils","Chennai Super Kings","bat","normal","00","Delhi Daredevils",0,8,"V Sehwag","MA Chidambaram Stadium, Chepauk","BF Bowden","K Hariharan",""
80,2008,"Hyderabad","2008-05-25","Deccan Chargers","Royal Challengers Bangalore","Deccan Chargers","bat","normal","00","Royal Challengers Bangalore",0,5,"R Vinay Kumar","Rajiv Gandhi International Stadium, Uppal","Asad Rauf","RE Koertzen",""
81,2008,"Chandigarh","2008-05-03","Kings XI Punjab","Kolkata Knight Riders","Kings XI Punjab","bat","normal","00","Kings XI Punjab",9,0,"IK Pathan","Punjab Cricket Association Stadium, Mohali","DJ Harper","I Shivram",""
82,2008,"Mumbai","2008-05-04","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal","00","Mumbai Indians",29,0,"SM Pollock","Dr DY Patil Sports Academy","IL Howell","RE Koertzen",""
83,2008,"Jaipur","2008-05-04","Chennai Super Kings","Rajasthan Royals","Chennai Super Kings","bat","normal","00","Rajasthan Royals",0,8,"Sohail Tanvir","Sawai Mansingh Stadium","Asad Rauf","AV Jayaprakash",""
84,2008,"Bangalore","2008-05-05","Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab","field","normal","00","Kings XI Punjab",0,6,"S Sreesanth","M Chinnaswamy Stadium","SJ Davis","BR Doctrove",""
85,2008,"Chennai","2008-05-06","Chennai Super Kings","Deccan Chargers","Deccan Chargers","field","normal","00","Deccan Chargers",0,7,"AC Gilchrist","MA Chidambaram Stadium, Chepauk","MR Benson","RB Tiffin",""
86,2008,"Mumbai","2008-05-07","Rajasthan Royals","Mumbai Indians","Mumbai Indians","field","normal","00","Mumbai Indians",0,7,"A Nehra","Dr DY Patil Sports Academy","DJ Harper","RE Koertzen",""
87,2008,"Delhi","2008-05-08","Delhi Daredevils","Chennai Super Kings","Chennai Super Kings","field","normal","00","Chennai Super Kings",0,4,"MS Dhoni","Feroz Shah Kotla","Aleem Dar","RB Tiffin",""
88,2008,"Kolkata","2008-05-08","Kolkata Knight Riders","Royal Challengers Bangalore","Kolkata Knight Riders","bat","normal","00","Kolkata Knight Riders",5,0,"SC Ganguly","Eden Gardens","Asad Rauf","IL Howell",""
89,2008,"Jaipur","2008-05-09","Deccan Chargers","Rajasthan Royals","Rajasthan Royals","field","normal","00","Rajasthan Royals",0,8,"YK Pathan","Sawai Mansingh Stadium","MR Benson","AM Saheba",""
90,2008,"Bangalore","2008-05-28","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","normal","00","Mumbai Indians",0,9,"CRD Fernando","M Chinnaswamy Stadium","BF Bowden","AV Jayaprakash",""
91,2008,"Chennai","2008-05-10","Chennai Super Kings","Kings XI Punjab","Kings XI Punjab","field","normal","00","Chennai Super Kings",18,0,"L Balaji","MA Chidambaram Stadium, Chepauk","AV Jayaprakash","BG Jerling",""
92,2008,"Hyderabad","2008-05-11","Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","bat","normal","00","Kolkata Knight Riders",23,0,"SC Ganguly","Rajiv Gandhi International Stadium, Uppal","IL Howell","AM Saheba",""
93,2008,"Jaipur","2008-05-11","Delhi Daredevils","Rajasthan Royals","Rajasthan Royals","field","normal","00","Rajasthan Royals",0,3,"SR Watson","Sawai Mansingh Stadium","SJ Davis","RE Koertzen",""
94,2008,"Chandigarh","2008-05-12","Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore","bat","normal","00","Kings XI Punjab",0,9,"SE Marsh","Punjab Cricket Association Stadium, Mohali","BR Doctrove","I Shivram",""
95,2008,"Kolkata","2008-05-13","Kolkata Knight Riders","Delhi Daredevils","Kolkata Knight Riders","bat","normal","00","Kolkata Knight Riders",23,0,"Shoaib Akhtar","Eden Gardens","Asad Rauf","IL Howell",""
96,2008,"Mumbai","2008-05-14","Chennai Super Kings","Mumbai Indians","Mumbai Indians","field","normal","00","Mumbai Indians",0,9,"ST Jayasuriya","Wankhede Stadium","BR Doctrove","AM Saheba",""
97,2008,"Chandigarh","2008-05-28","Kings XI Punjab","Rajasthan Royals","Rajasthan Royals","field","normal","00","Kings XI Punjab",41,0,"SE Marsh","Punjab Cricket Association Stadium, Mohali","SJ Davis","K Hariharan",""
98,2008,"Delhi","2008-05-15","Delhi Daredevils","Deccan Chargers","Deccan Chargers","field","normal","00","Delhi Daredevils",12,0,"A Mishra","Feroz Shah Kotla","BG Jerling","GA Pratapkumar",""
99,2008,"Mumbai","2008-05-16","Kolkata Knight Riders","Mumbai Indians","Mumbai Indians","field","normal","00","Mumbai Indians",0,8,"SM Pollock","Wankhede Stadium","BR Doctrove","DJ Harper",""
100,2008,"Delhi","2008-05-17","Delhi Daredevils","Kings XI Punjab","Delhi Daredevils","bat","normal","01","Kings XI Punjab",6,0,"DPMD Jayawardene","Feroz Shah Kotla","AV Jayaprakash","RE Koertzen",""
101,2008,"Jaipur","2008-05-17","Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal","00","Rajasthan Royals",65,0,"GC Smith","Sawai Mansingh Stadium","BF Bowden","SL Shastri",""
102,2008,"Hyderabad","2008-05-18","Mumbai Indians","Deccan Chargers","Deccan Chargers","field","normal","00","Mumbai Indians",25,0,"DJ Bravo","Rajiv Gandhi International Stadium, Uppal","BR Doctrove","DJ Harper",""
103,2008,"Kolkata","2008-05-18","Kolkata Knight Riders","Chennai Super Kings","Kolkata Knight Riders","bat","normal","01","Chennai Super Kings",3,0,"M Ntini","Eden Gardens","Asad Rauf","K Hariharan",""
104,2008,"Bangalore","2008-05-19","Royal Challengers Bangalore","Delhi Daredevils","Delhi Daredevils","field","normal","00","Delhi Daredevils",0,5,"SP Goswami","M Chinnaswamy Stadium","SJ Davis","GA Pratapkumar",""
105,2008,"Kolkata","2008-05-20","Kolkata Knight Riders","Rajasthan Royals","Rajasthan Royals","field","normal","00","Rajasthan Royals",0,6,"YK Pathan","Eden Gardens","BG Jerling","RE Koertzen",""
106,2008,"Mumbai","2008-05-21","Kings XI Punjab","Mumbai Indians","Mumbai Indians","field","normal","00","Kings XI Punjab",1,0,"SE Marsh","Wankhede Stadium","BF Bowden","GA Pratapkumar",""
107,2008,"Chennai","2008-05-21","Royal Challengers Bangalore","Chennai Super Kings","Royal Challengers Bangalore","bat","normal","00","Royal Challengers Bangalore",14,0,"A Kumble","MA Chidambaram Stadium, Chepauk","DJ Harper","I Shivram",""
108,2008,"Chandigarh","2008-05-23","Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","normal","00","Kings XI Punjab",0,6,"SE Marsh","Punjab Cricket Association Stadium, Mohali","Asad Rauf","SJ Davis",""
109,2008,"Delhi","2008-05-24","Mumbai Indians","Delhi Daredevils","Delhi Daredevils","field","normal","00","Delhi Daredevils",0,5,"KD Karthik","Feroz Shah Kotla","BF Bowden","K Hariharan",""
110,2008,"Chennai","2008-05-24","Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","bat","normal","00","Rajasthan Royals",10,0,"JA Morkel","MA Chidambaram Stadium, Chepauk","DJ Harper","SL Shastri",""
111,2008,"Bangalore","2008-05-03","Royal Challengers Bangalore","Deccan Chargers","Deccan Chargers","field","normal","00","Royal Challengers Bangalore",3,0,"P Kumar","M Chinnaswamy Stadium","BR Doctrove","SL Shastri",""
112,2008,"Kolkata","2008-05-25","Kings XI Punjab","Kolkata Knight Riders","Kings XI Punjab","bat","normal","00","Kolkata Knight Riders",0,3,"Umar Gul","Eden Gardens","SJ Davis","I Shivram",""
113,2008,"Jaipur","2008-05-26","Mumbai Indians","Rajasthan Royals","Rajasthan Royals","field","normal","00","Rajasthan Royals",0,5,"Sohail Tanvir","Sawai Mansingh Stadium","BF Bowden","K Hariharan",""
114,2008,"Hyderabad","2008-05-27","Deccan Chargers","Chennai Super Kings","Deccan Chargers","bat","normal","00","Chennai Super Kings",0,7,"SK Raina","Rajiv Gandhi International Stadium, Uppal","BG Jerling","AM Saheba",""
115,2008,"Mumbai","2008-05-30","Rajasthan Royals","Delhi Daredevils","Delhi Daredevils","field","normal","00","Rajasthan Royals",105,0,"SR Watson","Wankhede Stadium","BF Bowden","RE Koertzen",""
116,2008,"Mumbai","2008-05-31","Kings XI Punjab","Chennai Super Kings","Kings XI Punjab","bat","normal","00","Chennai Super Kings",0,9,"M Ntini","Wankhede Stadium","Asad Rauf","DJ Harper",""
117,2008,"Mumbai","2008-06-01","Chennai Super Kings","Rajasthan Royals","Rajasthan Royals","field","normal","00","Rajasthan Royals",0,3,"YK Pathan","Dr DY Patil Sports Academy","BF Bowden","RE Koertzen",""
118,2009,"Cape Town","2009-04-18","Mumbai Indians","Chennai Super Kings","Chennai Super Kings","field","normal","00","Mumbai Indians",19,0,"SR Tendulkar","Newlands","BR Doctrove","K Hariharan",""
119,2009,"Cape Town","2009-04-18","Royal Challengers Bangalore","Rajasthan Royals","Royal Challengers Bangalore","bat","normal","00","Royal Challengers Bangalore",75,0,"R Dravid","Newlands","BR Doctrove","RB Tiffin",""
120,2009,"Cape Town","2009-04-19","Kings XI Punjab","Delhi Daredevils","Delhi Daredevils","field","normal","01","Delhi Daredevils",0,10,"DL Vettori","Newlands","MR Benson","SD Ranade",""
121,2009,"Cape Town","2009-04-19","Kolkata Knight Riders","Deccan Chargers","Kolkata Knight Riders","bat","normal","00","Deccan Chargers",0,8,"RP Singh","Newlands","MR Benson","BR Doctrove",""
122,2009,"Port Elizabeth","2009-04-20","Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","normal","00","Chennai Super Kings",92,0,"M Muralitharan","St George's Park","BG Jerling","SJA Taufel",""
123,2009,"Durban","2009-04-21","Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal","01","Kolkata Knight Riders",11,0,"CH Gayle","Kingsmead","DJ Harper","SD Ranade",""
124,2009,"Cape Town","2009-04-22","Deccan Chargers","Royal Challengers Bangalore","Deccan Chargers","bat","normal","00","Deccan Chargers",24,0,"AC Gilchrist","Newlands","M Erasmus","AM Saheba",""
125,2009,"Durban","2009-04-23","Delhi Daredevils","Chennai Super Kings","Delhi Daredevils","bat","normal","00","Delhi Daredevils",9,0,"AB de Villiers","Kingsmead","BR Doctrove","SJA Taufel",""
126,2009,"Cape Town","2009-04-23","Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","tie","00","Rajasthan Royals",0,0,"YK Pathan","Newlands","MR Benson","M Erasmus",""
127,2009,"Durban","2009-04-24","Royal Challengers Bangalore","Kings XI Punjab","Royal Challengers Bangalore","bat","normal","00","Kings XI Punjab",0,7,"RS Bopara","Kingsmead","BR Doctrove","TH Wijewardene",""
128,2009,"Durban","2009-04-24","Deccan Chargers","Mumbai Indians","Deccan Chargers","bat","normal","00","Deccan Chargers",12,0,"PP Ojha","Kingsmead","HDPK Dharmasena","SJA Taufel",""
